cell_id,stage,construct_target,query_family,example_queries,opportunity_denominator,expected_pattern,filtering_focus,status
known-qn-calibration,discovery-calibration,agreement_feature_alignment,"known number-transparent QNs","a number of people are|a number of people were|a lot of money is|a lot of money are","finite-verb agreement opportunities for known central QN+complement subjects","reproduce predicted-direction agreement after KWIC filtering","parse-shifted relative clauses; non-target heads; irrealis were; quoted grammar examples",kwic-filtered-run
partitive-calibration,discovery-calibration,agreement_override_pattern,"partitive vs non-partitive of-complements","lots of people|lots of the people|plenty of people|plenty of the people|the rest of people|the rest of the people","of-complement frames for known QN subgroups","reproduce subgroup contrast between bare/non-partitive and definite partitive complements","modifier uses; idioms; possessives; temporal fixed expressions",raw-list-run
partitive-agreement-followup,confirmatory,agreement_override_pattern,"finite agreement after partitive/QN people frames","lots of people are|lots of people is|plenty of people are|plenty of people is|the rest of the people are|the rest of the people is","subject-position partitive or QN people-frame opportunities with finite present agreement","plural agreement should dominate for plural-people complements after KWIC filtering","non-subject uses; relative-clause parse shifts; object-position phrases; metalinguistic examples",kwic-partial-run
bunch-animate-confirmatory,confirmatory,notional_agreement_basis,"bunch with animate plural complements","a bunch of people is|a bunch of people are|a bunch of people was|a bunch of people were|a bunch of kids is|a bunch of kids are|a bunch of kids was|a bunch of kids were","subject-position a bunch of animate-plural-complement opportunities with finite agreement","plural agreement should dominate if member construal supplies controller","non-subject uses; intervening relative clauses; existential there; quoted examples; non-target head",kwic-filtered-run
bunch-inanimate-confirmatory,confirmatory,notional_agreement_basis,"bunch with inanimate plural complements","a bunch of flowers is|a bunch of flowers are|a bunch of flowers was|a bunch of flowers were|a bunch of things is|a bunch of things are|a bunch of things was|a bunch of things were","subject-position a bunch of inanimate-plural-complement opportunities with finite agreement","profile should differ from animate or show bounded sparse evidence","object-position uses; literal collection uses if not agreement-bearing; non-target heads; passive/relative parse shifts",kwic-filtered-run
majority-minority-confirmatory,confirmatory,agreement_controller_identification,"majority/minority with plural set complements","a majority of people are|a majority of people is|the majority of people are|the majority of people is|a minority of voters are|a minority of voters is","subject-position majority/minority plural-complement opportunities with finite agreement","mixed/context-conditioned agreement should beat surface-head-only prediction","institution names; appositions; non-subjects; non-finite clauses; quoted examples",kwic-filtered-run
low-frequency-qn-listing-rival,confirmatory,notional_agreement_basis,"low-frequency animate plural QN frames","a smattering of critics are|a smattering of critics is|a gaggle of tourists are|a gaggle of tourists is|a tranche of voters are|a tranche of voters is","subject-position low-frequency QN-like plural-complement opportunities with finite present agreement","AGR predicts plural or context-conditioned agreement from notional/member construal; construction-specific listing predicts uncertainty, surface-head fallback, or post-hoc item-specific preference","non-subject uses; metaphorical uses; appositions; proper names; quoted examples; parse-shifted relatives; sparse zero cells",raw-zero-run
false-positive-audit,validation,measurement_clarity,"stratified sample of raw positives","sample raw rows from each confirmatory query family","raw positive hits by query family","estimate false discovery pressure and revise filtered counts","all exclusion labels in kwic-coding-schema.csv",computed-from-coded-rows
false-omission-audit,validation,measurement_clarity,"near-miss or denominator sample","the majority of people","candidate opportunities in denominator frame","estimate likely missed agreement realizations where feasible","missed inflected auxiliaries; punctuation/speaker-turn artifacts; query-tokenization misses",bounded-denominator-sample-run
genre-stratification,analysis,production_probability,"COCA genre/year metadata","same query families by genre/year where available","filtered target opportunities with metadata","check whether agreement profiles are broad or register-conditioned","sparse cells; genre imbalance; duplicated texts",planned
