item_id,cell_id,referent_status,pro_form_pattern,audience_or_evaluator,norm_centre,speaker_identity,context,target_sentence,reference_expected,predicted_channel_shift,activated_paths,status,notes
aud-ref-001,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,unmarked,"Riley left a jacket in the seminar room. The next sentence is from a classmate.","Riley said they would come back for it after lunch.",Riley,"high reference success and high acceptability; no special policy or sanction shift",feature-reference-acceptability-attribution|operator-licensing-attribution,draft,Baseline singular-they style item with clear referent.
aud-ref-002,low-stakes-reference,known_human,feature_aligned,ordinary_interlocutor,descriptive_usage,unmarked,"Maria emailed the committee about the schedule. The next sentence is from the chair.","Maria said she would send the revised agenda tonight.",Maria,"high reference success and high acceptability; ordinary aligned reference",feature-reference-acceptability-attribution|operator-licensing-attribution,draft,Baseline gendered-pronoun control.
aud-pol-001,policy-or-identity-framing,known_human,policy_specified,ordinary_interlocutor,descriptive_usage,unmarked,"Morgan uses they/them pronouns. A coworker is speaking informally after a meeting.","Morgan said they would update the file tomorrow.",Morgan,"reference success stable; acceptability high; low correction pressure",audience-social-acceptability|ideology-condemnation-attribution,draft,Stable-reference ordinary-audience condition.
aud-pol-002,policy-or-identity-framing,known_human,policy_specified,teacher_editor,school_standard,unmarked,"Morgan uses they/them pronouns. A teacher is marking a grammar worksheet that asks for traditional singular/plural agreement.","Morgan said they would update the file tomorrow.",Morgan,"reference success stable; possible correctness/grammar attribution shift by norm centre",audience-social-acceptability|ideology-condemnation-attribution,draft,Same target string as aud-pol-001 with evaluator/norm shift.
aud-pol-003,policy-or-identity-framing,known_human,policy_specified,institution_policy_officer,institutional_policy,institutional_representative,"Morgan uses they/them pronouns. The sentence appears in a workplace inclusion policy example.","Morgan said they would update the file tomorrow.",Morgan,"reference success stable; respect/policy compliance and sanction channels become salient",audience-social-acceptability|ideology-condemnation-attribution,draft,Same target string as aud-pol-001 with policy frame.
aud-amb-001,policy-or-identity-framing,unknown_human,ambiguous,ordinary_interlocutor,descriptive_usage,unmarked,"Alex talked with Sam after the meeting. The next sentence appears without further context.","They said the plan had changed.",ambiguous,"reference identification split or low confidence; audience frame should not rescue reference",feature-reference-acceptability-attribution|audience-social-acceptability,draft,Reference-failure control.
aud-amb-002,policy-or-identity-framing,unknown_human,ambiguous,institution_policy_officer,institutional_policy,institutional_representative,"Alex talked with Sam after the meeting. The sentence appears in a policy memo without further context.","They said the plan had changed.",ambiguous,"policy frame may alter sanction/attribution but not fix reference ambiguity",feature-reference-acceptability-attribution|audience-social-acceptability,draft,Same ambiguous target with policy frame.
aud-pers-001,personified-referent,personified_nonhuman,feature_aligned,ordinary_interlocutor,descriptive_usage,unmarked,"A family is talking about a dog they treat as a companion.","Luna barked until her dinner was ready.",Luna,"personhood ascription raises fit for personal pronoun",personhood-to-feature-alignment,draft,Personified non-human condition.
aud-pers-002,personified-referent,personified_nonhuman,feature_aligned,ordinary_interlocutor,descriptive_usage,unmarked,"A veterinary report describes the same dog in an administrative record.","Luna barked until its dinner was ready.",Luna,"institutional/objectifying frame may shift feature fit without direct grammar attribution",personhood-to-feature-alignment,draft,Same designatum type with non-personal construal.
aud-chain-001,personified-referent,personified_nonhuman,chain_switched,ordinary_interlocutor,descriptive_usage,unmarked,"A story first introduces a ship as an object and then changes the pro-form without explanation.","The vessel left port at dawn. She reached the harbour before nightfall.",the vessel,"unexplained chain switch lowers fit/acceptability unless personification is inferred",personhood-to-feature-alignment|feature-reference-acceptability-attribution,draft,Chain-coherence pressure.
aud-chain-002,personified-referent,personified_nonhuman,feature_aligned,ordinary_interlocutor,descriptive_usage,unmarked,"A story explicitly personifies a ship before using a personal pro-form.","The crew called the vessel Amelia. She reached the harbour before nightfall.",Amelia/the vessel,"explicit reclassification improves personal pro-form fit",personhood-to-feature-alignment|feature-reference-acceptability-attribution,draft,Chain switch with reclassification cue.
