label,counts_as_target,counts_as_denominator,definition,example_or_note
target_plural_agreement,yes,yes,"The queried NP is the agreement controller and the finite verb realizes plural agreement.","a bunch of people are..."
target_singular_agreement,yes,yes,"The queried NP is the agreement controller and the finite verb realizes singular agreement.","a bunch of people is..."
target_unclear_agreement,no,yes,"The NP is in the target frame but agreement realization cannot be confidently coded.","ellipsis, interruption, or malformed transcript"
non_subject,no,no,"The queried string is not functioning as the subject of the finite verb being counted.","object or complement position"
parse_shift_relative,no,no,"The apparent agreement verb belongs to a relative or other clause headed by a different controller.","people who earn a lot of money are..."
non_target_head,no,no,"The surface query string is inside an NP headed by another noun or construction.","the ability to house a number of people was..."
literal_or_non_quantificational,no,no,"The item is literal rather than quantificational or agreement-relevant.","literal piles/bunches where the target construction is absent"
modifier_or_compound_noise,no,no,"A query term is functioning as a modifier or compound element, not the intended complement/head.","day-to-day, day trips"
quoted_or_metalinguistic,no,no,"The row quotes or discusses an example rather than using it in ordinary discourse.","grammar examples, usage advice"
irrealis_or_subjunctive,no,yes,"The form is not plural agreement but an irrealis/subjunctive realization relevant to the denominator only if the NP frame is target.","if a lot of money were..."
nonstandard_or_error,no,yes,"The row is a plausible production error or nonstandard use, coded separately from licensed target agreement.","keep separate; do not silently discard"
duplicate_or_near_duplicate,no,no,"Duplicate text or repeated transcript line already counted.","deduplicate before summary"
unresolved,no,no,"Row requires manual review before inclusion.","temporary label only"
